(2022-10-13 02:26:36,700) ERROR: scraped_info, 02229: Error when splitting page_source
(2022-10-13 02:26:36,702) ERROR: scraped_info, 02229: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,704) ERROR: scraped_info, 02232: Timeout when loading URL
(2022-10-13 02:26:36,705) ERROR: scraped_info, 02232: Error when splitting page_source
(2022-10-13 02:26:36,706) ERROR: scraped_info, 02232: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,709) ERROR: scraped_info, 02233: Timeout when loading URL
(2022-10-13 02:26:36,709) ERROR: scraped_info, 02233: Error when splitting page_source
(2022-10-13 02:26:36,711) ERROR: scraped_info, 02233: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,713) ERROR: scraped_info, 02234: Timeout when loading URL
(2022-10-13 02:26:36,714) ERROR: scraped_info, 02234: Error when splitting page_source
(2022-10-13 02:26:36,715) ERROR: scraped_info, 02234: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,718) ERROR: scraped_info, 02238: Timeout when loading URL
(2022-10-13 02:26:36,718) ERROR: scraped_info, 02238: Error when splitting page_source
(2022-10-13 02:26:36,719) ERROR: scraped_info, 02238: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,722) ERROR: scraped_info, 02239: Timeout when loading URL
(2022-10-13 02:26:36,723) ERROR: scraped_info, 02239: Error when splitting page_source
(2022-10-13 02:26:36,724) ERROR: scraped_info, 02239: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,727) ERROR: scraped_info, 02242: Timeout when loading URL
(2022-10-13 02:26:36,727) ERROR: scraped_info, 02242: Error when splitting page_source
(2022-10-13 02:26:36,729) ERROR: scraped_info, 02242: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,731) ERROR: scraped_info, 02244: Timeout when loading URL
(2022-10-13 02:26:36,732) ERROR: scraped_info, 02244: Error when splitting page_source
(2022-10-13 02:26:36,733) ERROR: scraped_info, 02244: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,735) ERROR: scraped_info, 02245: Timeout when loading URL
(2022-10-13 02:26:36,736) ERROR: scraped_info, 02245: Error when splitting page_source
(2022-10-13 02:26:36,738) ERROR: scraped_info, 02245: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,740) ERROR: scraped_info, 02246: Timeout when loading URL
(2022-10-13 02:26:36,740) ERROR: scraped_info, 02246: Error when splitting page_source
(2022-10-13 02:26:36,742) ERROR: scraped_info, 02246: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,744) ERROR: scraped_info, 02247: Timeout when loading URL
(2022-10-13 02:26:36,745) ERROR: scraped_info, 02247: Error when splitting page_source
(2022-10-13 02:26:36,746) ERROR: scraped_info, 02247: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,749) ERROR: scraped_info, 02249: Timeout when loading URL
(2022-10-13 02:26:36,749) ERROR: scraped_info, 02249: Error when splitting page_source
(2022-10-13 02:26:36,751) ERROR: scraped_info, 02249: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,753) ERROR: scraped_info, 02255: Timeout when loading URL
(2022-10-13 02:26:36,753) ERROR: scraped_info, 02255: Error when splitting page_source
(2022-10-13 02:26:36,755) ERROR: scraped_info, 02255: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,758) ERROR: scraped_info, 02256: Timeout when loading URL
(2022-10-13 02:26:36,759) ERROR: scraped_info, 02256: Error when splitting page_source
(2022-10-13 02:26:36,761) ERROR: scraped_info, 02256: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,765) ERROR: scraped_info, 02257: Timeout when loading URL
(2022-10-13 02:26:36,766) ERROR: scraped_info, 02257: Error when splitting page_source
(2022-10-13 02:26:36,768) ERROR: scraped_info, 02257: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,772) ERROR: scraped_info, 02258: Timeout when loading URL
(2022-10-13 02:26:36,773) ERROR: scraped_info, 02258: Error when splitting page_source
(2022-10-13 02:26:36,775) ERROR: scraped_info, 02258: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,779) ERROR: scraped_info, 02263: Timeout when loading URL
(2022-10-13 02:26:36,780) ERROR: scraped_info, 02263: Error when splitting page_source
(2022-10-13 02:26:36,782) ERROR: scraped_info, 02263: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,785) ERROR: scraped_info, 02266: Timeout when loading URL
(2022-10-13 02:26:36,786) ERROR: scraped_info, 02266: Error when splitting page_source
(2022-10-13 02:26:36,788) ERROR: scraped_info, 02266: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,791) ERROR: scraped_info, 02267: Timeout when loading URL
(2022-10-13 02:26:36,791) ERROR: scraped_info, 02267: Error when splitting page_source
(2022-10-13 02:26:36,793) ERROR: scraped_info, 02267: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,796) ERROR: scraped_info, 02268: Timeout when loading URL
(2022-10-13 02:26:36,796) ERROR: scraped_info, 02268: Error when splitting page_source
(2022-10-13 02:26:36,799) ERROR: scraped_info, 02268: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,802) ERROR: scraped_info, 02269: Timeout when loading URL
(2022-10-13 02:26:36,803) ERROR: scraped_info, 02269: Error when splitting page_source
(2022-10-13 02:26:36,805) ERROR: scraped_info, 02269: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,807) ERROR: scraped_info, 02282: Timeout when loading URL
(2022-10-13 02:26:36,807) ERROR: scraped_info, 02282: Error when splitting page_source
(2022-10-13 02:26:36,809) ERROR: scraped_info, 02282: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,811) ERROR: scraped_info, 02285: Timeout when loading URL
(2022-10-13 02:26:36,812) ERROR: scraped_info, 02285: Error when splitting page_source
